job_compared,job_selected,skills,difference,job_compared_name
0,3,Programming,3,Childcare_Workers
22,32,Computers and Electronics,11,Childcare_Workers
6,19,Engineering and Technology,15,Childcare_Workers
35,25,Systems Analysis,13,Childcare_Workers
3,0,Science,7,Childcare_Workers
35,28,Systems Evaluation,12,Childcare_Workers
9,15,Design,12,Childcare_Workers
0,22,Operations Analysis,29,Childcare_Workers
19,16,Technology Design,11,Childcare_Workers
26,39,Mathematics,22,Childcare_Workers
56,47,Judgment and Decision Making,19,Childcare_Workers
35,25,Mathematics.1,21,Childcare_Workers
50,47,Complex Problem Solving,15,Childcare_Workers
35,28,Management of Personnel Resources,20,Childcare_Workers
50,28,Persuasion,36,Childcare_Workers
60,50,Critical Thinking,25,Childcare_Workers
47,31,Negotiation,32,Childcare_Workers
47,38,Learning Strategies,26,Childcare_Workers
50,38,Instructing,30,Childcare_Workers
54,62,English Language,27,Childcare_Workers
13,38,Telecommunications,45,Childcare_Workers
63,50,Speaking,34,Childcare_Workers
56,47,Active Listening,31,Childcare_Workers
50,44,Active Learning,29,Childcare_Workers
53,44,Writing,33,Childcare_Workers
31,41,Quality Control Analysis,35,Childcare_Workers
53,50,Reading Comprehension,29,Childcare_Workers
56,47,Coordination,36,Childcare_Workers
63,44,Service Orientation,47,Childcare_Workers
60,44,Social Perceptiveness,45,Childcare_Workers
0,16,Installation,46,Childcare_Workers
27,29,Communications and Media,33,Childcare_Workers
63,50,Monitoring,45,Childcare_Workers
0,25,Management of Financial Resources,58,Childcare_Workers
6,25,Management of Material Resources,53,Childcare_Workers
45,39,Administration and Management,41,Childcare_Workers
8,1,Fine Arts,43,Childcare_Workers
25,50,Troubleshooting,62,Childcare_Workers
32,24,Personnel and Human Resources,46,Childcare_Workers
12,5,History and Archeology,46,Childcare_Workers
16,6,Philosophy and Theology,50,Childcare_Workers
4,19,Physics,56,Childcare_Workers
34,7,Therapy and Counseling,69,Childcare_Workers
53,53,Time Management,43,Childcare_Workers
27,11,Sociology and Anthropology,60,Childcare_Workers
25,25,Sales and Marketing,45,Childcare_Workers
24,18,Economics and Accounting,52,Childcare_Workers
13,9,Biology,51,Childcare_Workers
0,31,Equipment Selection,79,Childcare_Workers
16,15,Foreign Language,50,Childcare_Workers
10,22,Production and Processing,62,Childcare_Workers
1,15,Building and Construction,65,Childcare_Workers
24,14,Medicine and Dentistry,62,Childcare_Workers
63,67,Customer and Personal Service,57,Childcare_Workers
15,16,Food Production,55,Childcare_Workers
54,46,Education and Training,63,Childcare_Workers
14,27,Chemistry,69,Childcare_Workers
56,30,Psychology,83,Childcare_Workers
41,32,Clerical,67,Childcare_Workers
17,39,Law and Government,81,Childcare_Workers
28,69,Operation Monitoring,101,Childcare_Workers
12,49,Geography,98,Childcare_Workers
0,47,Equipment Maintenance,109,Childcare_Workers
0,47,Repairing,110,Childcare_Workers
0,72,Operation and Control,136,Childcare_Workers
4,55,Mechanical,116,Childcare_Workers
45,68,Public Safety and Security,89,Childcare_Workers
18,75,Transportation,124,Childcare_Workers
