,Occupation,Automatability,Wage,Employment,Job_Compared,wage_Construction_Laborers,similar_Construction_Laborers,empl_Construction_Laborers,auto_Construction_Laborers
0,Recreational Therapists,0.0028,48190,18100,Recreational Therapists,-0.213737289894,0.211568718,1.0,0.88
1,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,66730,453330,"First-Line Supervisors of Mechanics, Installers, and Repairers",-0.432189420051,0.329431795,1.0,0.88
2,Emergency Management Directors,0.003,78060,9570,Emergency Management Directors,-0.514604150653,0.213402535,1.0,0.88
3,Mental Health and Substance Abuse Social Workers,0.0031,47880,114040,Mental Health and Substance Abuse Social Workers,-0.208646616541,0.153698979,1.0,0.88
4,Audiologists,0.0033,79290,12310,Audiologists,-0.522133938706,0.226824932,1.0,0.88
5,Occupational Therapists,0.0035,83730,118070,Occupational Therapists,-0.547474023647,0.161468039,1.0,0.88
6,Orthotists and Prosthetists,0.0035,69920,7500,Orthotists and Prosthetists,-0.458094965675,0.280107207,1.0,0.88
7,Healthcare Social Workers,0.0035,55510,159310,Healthcare Social Workers,-0.317420284633,0.161805765,1.0,0.88
8,Oral and Maxillofacial Surgeons,0.0036,232870,5380,Oral and Maxillofacial Surgeons,-0.837291192511,0.2367024,1.0,0.88
9,First-Line Supervisors of Fire Fighting and Prevention Workers,0.0036,77050,57170,First-Line Supervisors of Fire Fighting and Prevention Workers,-0.508241401687,0.319296339,1.0,0.88
10,Dietitians and Nutritionists,0.0039,59670,61430,Dietitians and Nutritionists,-0.365007541478,0.163444653,1.0,0.88
11,Lodging Managers,0.0039,59410,35410,Lodging Managers,-0.362228581047,0.182758604,1.0,0.88
12,Choreographers,0.004,53610,5160,Choreographers,-0.29322887521,0.195949003,1.0,0.88
13,Sales Engineers,0.0041,108880,74330,Sales Engineers,-0.652002204262,0.22952995,1.0,0.88
14,Instructional Coordinators,0.0042,65500,147330,Instructional Coordinators,-0.421526717557,0.194415163,1.0,0.88
15,"Psychologists, All Other",0.0043,94650,13310,"Psychologists, All Other",-0.599683042789,0.112185554,1.0,0.88
16,First-Line Supervisors of Police and Detectives,0.0044,88400,100200,First-Line Supervisors of Police and Detectives,-0.571380090498,0.212902548,1.0,0.88
17,"Dentists, General",0.0044,173860,105620,"Dentists, General",-0.782066030139,0.228118541,1.0,0.88
18,"Elementary School Teachers, Except Special Education",0.0044,59020,1392660,"Elementary School Teachers, Except Special Education",-0.358014232464,0.192577581,0.654933723953,0.88
19,"Medical Scientists, Except Epidemiologists",0.0045,95000,108870,"Medical Scientists, Except Epidemiologists",-0.601157894737,0.219453474,1.0,0.88
20,"Education Administrators, Elementary and Secondary School",0.0046,95390,242970,"Education Administrators, Elementary and Secondary School",-0.602788552259,0.154986368,1.0,0.88
21,Podiatrists,0.0046,144110,9800,Podiatrists,-0.737075844841,0.231148324,1.0,0.88
22,"Clinical, Counseling, and School Psychologists",0.0047,78690,107980,"Clinical, Counseling, and School Psychologists",-0.518490278307,0.136357477,1.0,0.88
23,Mental Health Counselors,0.0048,46050,139820,Mental Health Counselors,-0.177198697068,0.132096053,1.0,0.88
24,Fabric and Apparel Patternmakers,0.0049,48460,5310,Fabric and Apparel Patternmakers,-0.218118035493,0.3262883,1.0,0.88
25,Set and Exhibit Designers,0.0055,57600,12060,Set and Exhibit Designers,-0.3421875,0.282897415,1.0,0.88
26,Human Resources Managers,0.0055,120210,129810,Human Resources Managers,-0.684801597205,0.193312459,1.0,0.88
27,Recreation Workers,0.0061,27230,336880,Recreation Workers,0.39147998531,0.291695488,1.0,0.88
28,Training and Development Managers,0.0063,115180,32880,Training and Development Managers,-0.671036638305,0.174858207,1.0,0.88
29,Speech-Language Pathologists,0.0064,78210,135980,Speech-Language Pathologists,-0.515535097814,0.199438648,1.0,0.88
30,Computer Systems Analysts,0.0065,91620,568960,Computer Systems Analysts,-0.586444007859,0.249706985,1.0,0.88
31,Social and Community Service Managers,0.0067,70870,126230,Social and Community Service Managers,-0.465359108226,0.15816373,1.0,0.88
32,Curators,0.0068,58910,11170,Curators,-0.356815481243,0.235166918,1.0,0.88
33,Athletic Trainers,0.0071,47880,24130,Athletic Trainers,-0.208646616541,0.229026574,1.0,0.88
34,Medical and Health Services Managers,0.0073,109370,332150,Medical and Health Services Managers,-0.65356130566,0.171161088,1.0,0.88
35,"Preschool Teachers, Except Special Education",0.0074,33300,385550,"Preschool Teachers, Except Special Education",0.137837837838,0.249512919,1.0,0.88
36,Farm and Home Management Advisors,0.0075,52150,8620,Farm and Home Management Advisors,-0.273441994247,0.211506665,1.0,0.88
37,Anthropologists and Archeologists,0.0077,66440,6470,Anthropologists and Archeologists,-0.429711017459,0.188374736,1.0,0.88
38,"Special Education Teachers, Secondary School",0.0077,64020,132490,"Special Education Teachers, Secondary School",-0.408153701968,0.219366276,1.0,0.88
39,"Secondary School Teachers, Except Special and Career/Technical Education",0.0078,61420,1003250,"Secondary School Teachers, Except Special and Career/Technical Education",-0.383099967437,0.239493818,0.909145277847,0.88
40,Clergy,0.0081,49450,49320,Clergy,-0.23377148635,0.14287526,1.0,0.88
41,Foresters,0.0081,60300,8420,Foresters,-0.371641791045,0.28349373,1.0,0.88
42,"Educational, Guidance, School, and Vocational Counselors",0.0085,57620,260670,"Educational, Guidance, School, and Vocational Counselors",-0.342415827838,0.160051541,1.0,0.88
43,"Career/Technical Education Teachers, Secondary School",0.0088,59480,80100,"Career/Technical Education Teachers, Secondary School",-0.362979152656,0.31476985,1.0,0.88
44,Registered Nurses,0.009,72180,18100,Registered Nurses,-0.47506234414,0.210264745,1.0,0.88
45,Rehabilitation Counselors,0.0094,38740,103030,Rehabilitation Counselors,-0.0219411461022,0.191560861,1.0,0.88
46,Forensic Science Technicians,0.0095,60690,14800,Forensic Science Technicians,-0.375679683638,0.346370951,1.0,0.88
47,"Makeup Artists, Theatrical and Performance",0.01,71590,3600,"Makeup Artists, Theatrical and Performance",-0.470736136332,0.341278867,1.0,0.88
48,Marine Engineers and Naval Architects,0.01,99860,8120,Marine Engineers and Naval Architects,-0.620568796315,0.299657246,1.0,0.88
49,"Education Administrators, Postsecondary",0.01,105770,138430,"Education Administrators, Postsecondary",-0.641769878037,0.161652837,1.0,0.88
50,Mechanical Engineers,0.011,89800,285790,Mechanical Engineers,-0.578062360802,0.238363132,1.0,0.88
51,Pharmacists,0.012,120270,305510,Pharmacists,-0.684958842604,0.181408337,1.0,0.88
52,Logisticians,0.012,77810,146060,Logisticians,-0.51304459581,0.252723195,1.0,0.88
53,Microbiologists,0.012,76850,21670,Microbiologists,-0.506961613533,0.232812446,1.0,0.88
54,Industrial-Organizational Psychologists,0.012,104570,1020,Industrial-Organizational Psychologists,-0.637658984412,0.136888673,1.0,0.88
55,Coaches and Scouts,0.013,41000,230930,Coaches and Scouts,-0.0758536585366,0.195354024,1.0,0.88
56,Sales Managers,0.013,135090,365230,Sales Managers,-0.719520319787,0.202467144,1.0,0.88
57,Hydrologists,0.014,83740,6300,Hydrologists,-0.547528063052,0.313799376,1.0,0.88
58,Marketing Managers,0.014,144140,205900,Marketing Managers,-0.737130567504,0.200390198,1.0,0.88
59,Marriage and Family Therapists,0.014,54090,36960,Marriage and Family Therapists,-0.299500831947,0.126494029,1.0,0.88
