,Occupation,Automatability,Wage,Employment,Job_Compared,wage_Heavy_and_Tractor-Trailer_Truck_Drivers,similar_Heavy_and_Tractor-Trailer_Truck_Drivers,empl_Heavy_and_Tractor-Trailer_Truck_Drivers,auto_Heavy_and_Tractor-Trailer_Truck_Drivers
0,Recreational Therapists,0.0028,48190,18100,Recreational Therapists,-0.0954554886906,0.220788586,1.0,0.79
1,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,66730,453330,"First-Line Supervisors of Mechanics, Installers, and Repairers",-0.34677056796,0.311746533,1.0,0.79
2,Emergency Management Directors,0.003,78060,9570,Emergency Management Directors,-0.441583397387,0.228376242,1.0,0.79
3,Mental Health and Substance Abuse Social Workers,0.0031,47880,114040,Mental Health and Substance Abuse Social Workers,-0.0895989974937,0.168265323,1.0,0.79
4,Audiologists,0.0033,79290,12310,Audiologists,-0.450245932652,0.245748664,1.0,0.79
5,Occupational Therapists,0.0035,83730,118070,Occupational Therapists,-0.47939806521,0.169789638,1.0,0.79
6,Orthotists and Prosthetists,0.0035,69920,7500,Orthotists and Prosthetists,-0.376573226545,0.244822445,1.0,0.79
7,Healthcare Social Workers,0.0035,55510,159310,Healthcare Social Workers,-0.214736083589,0.175375143,1.0,0.79
8,Oral and Maxillofacial Surgeons,0.0036,232870,5380,Oral and Maxillofacial Surgeons,-0.812814016404,0.222922648,1.0,0.79
9,First-Line Supervisors of Fire Fighting and Prevention Workers,0.0036,77050,57170,First-Line Supervisors of Fire Fighting and Prevention Workers,-0.434263465282,0.319382015,1.0,0.79
10,Dietitians and Nutritionists,0.0039,59670,61430,Dietitians and Nutritionists,-0.269482151835,0.160886202,1.0,0.79
11,Lodging Managers,0.0039,59410,35410,Lodging Managers,-0.266285137182,0.188233745,1.0,0.79
12,Choreographers,0.004,53610,5160,Choreographers,-0.186905428092,0.172731241,1.0,0.79
13,Sales Engineers,0.0041,108880,74330,Sales Engineers,-0.599650991918,0.242589448,1.0,0.79
14,Instructional Coordinators,0.0042,65500,147330,Instructional Coordinators,-0.334503816794,0.186072907,1.0,0.79
15,"Psychologists, All Other",0.0043,94650,13310,"Psychologists, All Other",-0.539461172742,0.109092554,1.0,0.79
16,First-Line Supervisors of Police and Detectives,0.0044,88400,100200,First-Line Supervisors of Police and Detectives,-0.506900452489,0.233495214,1.0,0.79
17,"Dentists, General",0.0044,173860,105620,"Dentists, General",-0.749281030714,0.21868362,1.0,0.79
