job_compared,job_selected,skills,difference,job_compared_name
10,3,Programming,7,Real_Estate_Agents
55,32,Computers and Electronics,24,Real_Estate_Agents
8,19,Engineering and Technology,13,Real_Estate_Agents
41,25,Systems Analysis,19,Real_Estate_Agents
6,0,Science,10,Real_Estate_Agents
44,28,Systems Evaluation,21,Real_Estate_Agents
22,15,Design,13,Real_Estate_Agents
28,22,Operations Analysis,13,Real_Estate_Agents
10,16,Technology Design,14,Real_Estate_Agents
53,39,Mathematics,23,Real_Estate_Agents
56,47,Judgment and Decision Making,19,Real_Estate_Agents
47,25,Mathematics.1,33,Real_Estate_Agents
50,47,Complex Problem Solving,15,Real_Estate_Agents
41,28,Management of Personnel Resources,26,Real_Estate_Agents
72,28,Persuasion,58,Real_Estate_Agents
63,50,Critical Thinking,28,Real_Estate_Agents
72,31,Negotiation,57,Real_Estate_Agents
38,38,Learning Strategies,17,Real_Estate_Agents
44,38,Instructing,24,Real_Estate_Agents
69,62,English Language,26,Real_Estate_Agents
32,38,Telecommunications,26,Real_Estate_Agents
72,50,Speaking,43,Real_Estate_Agents
72,47,Active Listening,47,Real_Estate_Agents
56,44,Active Learning,35,Real_Estate_Agents
56,44,Writing,36,Real_Estate_Agents
31,41,Quality Control Analysis,35,Real_Estate_Agents
60,50,Reading Comprehension,36,Real_Estate_Agents
69,47,Coordination,49,Real_Estate_Agents
63,44,Service Orientation,47,Real_Estate_Agents
69,44,Social Perceptiveness,54,Real_Estate_Agents
0,16,Installation,46,Real_Estate_Agents
47,29,Communications and Media,49,Real_Estate_Agents
47,50,Monitoring,35,Real_Estate_Agents
28,25,Management of Financial Resources,36,Real_Estate_Agents
25,25,Management of Material Resources,34,Real_Estate_Agents
45,39,Administration and Management,41,Real_Estate_Agents
4,1,Fine Arts,39,Real_Estate_Agents
19,50,Troubleshooting,68,Real_Estate_Agents
33,24,Personnel and Human Resources,47,Real_Estate_Agents
9,5,History and Archeology,43,Real_Estate_Agents
21,6,Philosophy and Theology,55,Real_Estate_Agents
5,19,Physics,55,Real_Estate_Agents
12,7,Therapy and Counseling,47,Real_Estate_Agents
63,53,Time Management,53,Real_Estate_Agents
30,11,Sociology and Anthropology,63,Real_Estate_Agents
89,25,Sales and Marketing,109,Real_Estate_Agents
41,18,Economics and Accounting,69,Real_Estate_Agents
5,9,Biology,51,Real_Estate_Agents
0,31,Equipment Selection,79,Real_Estate_Agents
14,15,Foreign Language,50,Real_Estate_Agents
9,22,Production and Processing,63,Real_Estate_Agents
45,15,Building and Construction,81,Real_Estate_Agents
4,14,Medicine and Dentistry,62,Real_Estate_Agents
88,67,Customer and Personal Service,74,Real_Estate_Agents
3,16,Food Production,67,Real_Estate_Agents
39,46,Education and Training,62,Real_Estate_Agents
7,27,Chemistry,76,Real_Estate_Agents
53,30,Psychology,80,Real_Estate_Agents
55,32,Clerical,81,Real_Estate_Agents
63,39,Law and Government,83,Real_Estate_Agents
28,69,Operation Monitoring,101,Real_Estate_Agents
30,49,Geography,80,Real_Estate_Agents
0,47,Equipment Maintenance,109,Real_Estate_Agents
0,47,Repairing,110,Real_Estate_Agents
25,72,Operation and Control,111,Real_Estate_Agents
16,55,Mechanical,104,Real_Estate_Agents
32,68,Public Safety and Security,102,Real_Estate_Agents
26,75,Transportation,116,Real_Estate_Agents
